,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB,PIE,SEASON_ID,ALL_STAR_APPEARANCES
0,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,8,12,Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013,2021,N,Y,Y,2013,1,12,203500,Steven Adams,2021-22,13.0,4.7,13.0,0.143,12013,
0,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,4,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2021,N,Y,Y,2017,1,14,1628389,Bam Adebayo,2021-22,17.7,2.0,14.0,0.219,12017,
0,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,250,15,21,Center-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006,2021,N,Y,Y,2006,1,2,200746,LaMarcus Aldridge,2021-22,11.0,0.3,5.3,0.124,22006,
0,1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21T00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216,1,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,1629734,Kyle Alexander,career,1.0,0.0,1.5,,12019,0.0
0,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,2,6,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,nickeil_alexander-walker,2019,2021,Y,Y,Y,2019,1,17,1629638,Nickeil Alexander-Walker,2021-22,17.3,1.8,7.8,0.109,12019,
0,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,3,7,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018,2021,Y,Y,Y,2018,1,21,1628960,Grayson Allen,2021-22,13.3,2.0,4.0,0.098,12018,
0,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-10,243,4,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2021,N,Y,Y,2017,1,22,1628386,Jarrett Allen,2021-22,17.0,1.3,9.5,0.172,12017,
0,1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15T00:00:00,Arizona,USA,Arizona/USA,6-1,200,2,,Guard,Inactive,N,0,,,,,kadeem_allen,2017,2019,Y,Y,Y,2017,2,53,1628443,Kadeem Allen,career,5.5,2.3,1.5,,12017,0.0
0,202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,al-farouq-aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-8,220,11,5,Forward,Inactive,Y,1610612741,Bulls,CHI,bulls,Chicago,al-farouq_aminu,2010,2020,N,Y,Y,2010,1,8,202329,Al-Farouq Aminu,career,7.5,1.2,6.0,,12010,0.0
0,1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,1993-11-19T00:00:00,Virginia,USA,Virginia/USA,6-5,231,5,10,Forward-Guard,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,justin_anderson,2015,2019,Y,Y,Y,2015,1,21,1626147,Justin Anderson,career,5.2,0.7,2.5,,12015,0.0
